REF_AREA,MEASURE,UNIT_MEASURE,AGE,SEX,EDUCATION_LEVEL,INCOME_GROUP,EMP_STATUS,TIME_PERIOD,OBS_VALUE,BREAKDOWN_V7_HH,V7 Breakdowns households
DEU,G2I_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,10.0036,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,C5B_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,98.4166,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F1_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,67.17410000000001,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1K_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,9.8507,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I7C_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,59.6742,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I7D_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,36.1542,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,73.7897,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F2C_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,16.8236,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F4A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,60.034699999999994,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,62.4629,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1E_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,85.73769999999999,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,95.767,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I9_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,27.696700000000003,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G1_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,90.7518,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1H_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,69.893,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1H_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,70.722,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1G_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,77.44720000000001,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I7A_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,50.0739,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1D_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,42.2449,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1U_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,36.0778,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1I_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,58.2106,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F4J_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,2.9533,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,G2G_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,34.6177,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1B_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,62.1367,I_HI,Individuals aged 16-74 with a high level of educational attainment
